Script started on 2026-06-01 21:04:17+08:00 [<not executed on terminal>]
============================================================
训练配置 - 方案A (卷积+池化+分组池化)
============================================================
量子比特数: 8
Ansatz层数: 8
参数数量: 120
训练轮数: 40
批次大小: 50
学习率: 0.001
============================================================

加载并预处理数据...
训练样本数: 1000
预处理后数据维度: 8
标签分布: 0(数字4): 473, 1(数字9): 527
数据范围: [0.4924, 1.4732]

开始训练...
============================================================
训练样本数: 1000
[274秒] 样本 230/1000, 损失: 0.0278
[275秒] 样本 231/1000, 损失: 0.6945
[277秒] 样本 232/1000, 损失: 0.0278
[278秒] 样本 233/1000, 损失: 0.0278
[279秒] 样本 234/1000, 损失: 0.6945
[280秒] 样本 235/1000, 损失: 0.0278
[281秒] 样本 236/1000, 损失: 0.0278
[283秒] 样本 237/1000, 损失: 0.0278
[284秒] 样本 238/1000, 损失: 0.6945
[285秒] 样本 239/1000, 损失: 0.0278
[287秒] 样本 240/1000, 损失: 0.0278
[288秒] 样本 241/1000, 损失: 0.0278
[289秒] 样本 242/1000, 损失: 0.0298
[290秒] 样本 243/1000, 损失: 0.0278
[291秒] 样本 244/1000, 损失: 0.6945
[293秒] 样本 245/1000, 损失: 0.0278
[294秒] 样本 246/1000, 损失: 0.6945
[296秒] 样本 247/1000, 损失: 0.6945
[297秒] 样本 248/1000, 损失: 0.0278
[298秒] 样本 249/1000, 损失: 0.0278
[299秒] 样本 250/1000, 损失: 0.0278
[300秒] 样本 251/1000, 损失: 0.0268
[302秒] 样本 252/1000, 损失: 0.6593
[303秒] 样本 253/1000, 损失: 0.0268
[304秒] 样本 254/1000, 损失: 0.0268
[306秒] 样本 255/1000, 损失: 0.0268
[307秒] 样本 256/1000, 损失: 0.0268
[308秒] 样本 257/1000, 损失: 0.6994
[310秒] 样本 258/1000, 损失: 0.0268
[311秒] 样本 259/1000, 损失: 0.0268
[312秒] 样本 260/1000, 损失: 0.6882
[313秒] 样本 261/1000, 损失: 0.0268
[315秒] 样本 262/1000, 损失: 0.0268
[316秒] 样本 263/1000, 损失: 0.6994
[317秒] 样本 264/1000, 损失: 0.0268
[318秒] 样本 265/1000, 损失: 0.6994
[320秒] 样本 266/1000, 损失: 0.0268
[321秒] 样本 267/1000, 损失: 0.0268
[322秒] 样本 268/1000, 损失: 0.0268
[323秒] 样本 269/1000, 损失: 0.0268
[325秒] 样本 270/1000, 损失: 0.0268
[326秒] 样本 271/1000, 损失: 0.0268
[328秒] 样本 272/1000, 损失: 0.0268
[329秒] 样本 273/1000, 损失: 0.0268
[330秒] 样本 274/1000, 损失: 0.0268
[331秒] 样本 275/1000, 损失: 0.6924
[333秒] 样本 276/1000, 损失: 0.0268
[334秒] 样本 277/1000, 损失: 0.6994
[336秒] 样本 278/1000, 损失: 0.6994
[337秒] 样本 279/1000, 损失: 0.0268
[338秒] 样本 280/1000, 损失: 0.6994
[339秒] 样本 281/1000, 损失: 0.6994
[341秒] 样本 282/1000, 损失: 0.6994
[342秒] 样本 283/1000, 损失: 0.6994
[343秒] 样本 284/1000, 损失: 0.6994
[345秒] 样本 285/1000, 损失: 0.6994
[346秒] 样本 286/1000, 损失: 0.6994
[347秒] 样本 287/1000, 损失: 0.0268
[348秒] 样本 288/1000, 损失: 0.0268
[350秒] 样本 289/1000, 损失: 0.0268
[351秒] 样本 290/1000, 损失: 0.6994
[352秒] 样本 291/1000, 损失: 0.0268
